id,product_name,price
745,Beer - Steamwhistle,68.51
746,Cheese - Comtomme,93.03
747,Chocolate Bar - Reese Pieces,4.76
748,Papadam,60.98
749,"Pork - Loin, Boneless",19.52
750,Cattail Hearts,41.86
751,"Nut - Almond, Blanched, Sliced",19.13
752,Corn Shoots,95.16
753,Pepper - Red Chili,84.16
754,"Salt - Rock, Course",46.45
755,Flour Dark Rye,61.28
756,"Napkin - Dinner, White",3.18
757,Pork - Caul Fat,39.73
758,"Wine - Red, Cabernet Merlot",13.85
759,"Nut - Almond, Blanched, Sliced",5.53
760,Coffee Swiss Choc Almond,12.16
761,"Wine - Red, Lurton Merlot De",47.39
762,Beer - True North Lager,43.39
763,Bandage - Finger Cots,80.3
764,"Nestea - Ice Tea, Diet",76.34
765,Wine - Taylors Reserve,43.21
766,Beer - Upper Canada Lager,8.79
767,Grapes - Green,1.63
768,Dried Apple,17.85
769,"Yogurt - Strawberry, 175 Gr",50.74
770,Salami - Genova,73.38
771,Cheese - Comtomme,12.62
772,Lychee,50.25
773,Ginger - Fresh,21.96
774,Carbonated Water - Blackberry,82.9
775,Tomatoes Tear Drop Yellow,94.75
776,Cheese - Cheddar With Claret,72.32
777,Bread Bowl Plain,36.15
778,"Pepper - White, Whole",80.66
779,Cheese - Gorgonzola,11.55
780,"Beef - Tenderlion, Center Cut",25.27
781,Onions - Cooking,40.01
782,Oregano - Fresh,86.93
783,Salmon Steak - Cohoe 6 Oz,94.06
784,Sauce - Oyster,33.66
785,Ezy Change Mophandle,45.19
786,"Tomatoes - Vine Ripe, Red",33.7
787,"Clams - Littleneck, Whole",18.14
788,"Beans - Kidney, Red Dry",44.57
789,Hummus - Spread,29.76
790,Crab Brie In Phyllo,64.9
791,Milk Powder,68.38
792,Cheese - Comte,11.07
793,"Wine - Red, Pelee Island Merlot",62.3
794,Table Cloth 81x81 White,77.98
795,Bread - Pain Au Liat X12,75.9
796,Lobster - Base,64.38
797,Fudge - Cream Fudge,39.79
798,Wine - Baron De Rothschild,52.1
799,Wine - Sicilia Igt Nero Avola,35.3
800,Sausage - Breakfast,29.35
801,"Chicken - Leg, Boneless",37.14
802,Pastry - Carrot Muffin - Mini,18.97
803,"Doilies - 7, Paper",89.32
804,"Nestea - Ice Tea, Diet",39.82
805,Bread - Bistro White,25.62
806,Wine - Merlot Vina Carmen,64.58
807,Ginsing - Fresh,48.63
808,"Yeast - Fresh, Fleischman",34.94
809,Sping Loaded Cup Dispenser,20.48
810,Pork - Belly Fresh,23.77
811,Dawn Professionl Pot And Pan,49.7
812,Cheese - Marble,4.43
813,Milk - 2%,90.79
814,Beans - Kidney White,17.35
815,Coffee Guatemala Dark,75.71
816,"Mushroom - Chantrelle, Fresh",90.03
817,Bread - Malt,59.14
818,Sauce - Vodka Blush,49.57
819,Rambutan,27.56
820,Table Cloth 62x114 Colour,71.63
821,Bandage - Fexible 1x3,34.82
822,Cheese - Ricotta,27.24
823,"Pepper - Chipotle, Canned",82.2
824,Beef - Flank Steak,20.94
825,Beef - Montreal Smoked Brisket,91.25
826,"Lettuce - Mini Greens, Whole",69.0
827,English Muffin,68.27
828,Appetizer - Lobster Phyllo Roll,31.01
829,Milkettes - 2%,95.16
830,Water - San Pellegrino,74.36
831,Wine - Cotes Du Rhone Parallele,96.74
832,Molasses - Fancy,12.67
833,Pepsi - 600ml,98.02
834,Pastry - Raisin Muffin - Mini,81.58
835,Oil - Grapeseed Oil,4.9
836,Spice - Peppercorn Melange,61.37
837,"Vermouth - White, Cinzano",71.17
838,Ice Cream Bar - Hageen Daz To,15.19
839,Piping - Bags Quizna,45.23
840,Devonshire Cream,82.89
841,"Lid - 10,12,16 Oz",39.89
842,Blouse / Shirt / Sweater,82.1
843,"Water - Spring Water, 355 Ml",37.09
844,Muffin - Mix - Strawberry Rhubarb,69.64
845,Energy Drink - Franks Original,90.11
846,"Trout - Rainbow, Frozen",18.68
847,Lighter - Bbq,26.29
848,Cheese - Camembert,56.48
849,Bamboo Shoots - Sliced,78.88
850,Cheese - Bocconcini,6.82
851,"Sauce - Soya, Dark",54.73
852,Mayonnaise - Individual Pkg,3.04
853,Coffee Caramel Biscotti,75.55
854,Cabbage - Nappa,83.15
855,Halibut - Steaks,20.25
856,Muffin Batt - Blueberry Passion,90.3
857,"Soup - Knorr, Chicken Gumbo",80.13
858,"Fish - Soup Base, Bouillon",53.67
859,Rice Paper,22.18
860,"Pork - Tenderloin, Fresh",22.43
861,Bouillion - Fish,55.88
862,Cheese - Cheddarsliced,86.65
863,Cookies Cereal Nut,53.1
864,Pepper - Cayenne,87.52
865,Chocolate Bar - Coffee Crisp,98.23
866,Bagelers - Cinn / Brown,20.59
867,"Soup - Campbells, Classic Chix",91.69
868,"Mushroom - Chanterelle, Dry",54.87
869,Jameson - Irish Whiskey,21.43
870,Burger Veggie,89.85
871,Longos - Grilled Chicken With,24.5
872,Beets,21.68
873,Mousse - Mango,54.87
874,Muffin - Mix - Strawberry Rhubarb,70.31
875,Wine - Maipo Valle Cabernet,75.75
876,Chocolate - Dark,47.72
877,Cardamon Ground,23.23
878,Pork Casing,85.94
879,Oil - Avocado,28.01
880,"Wine - Sherry Dry Sack, William",29.27
881,"Carrots - Purple, Organic",44.93
882,Compound - Orange,7.89
883,Squid U5 - Thailand,68.1
884,Pickle - Dill,34.7
885,Cheese Cheddar Processed,14.82
886,Bagelers,32.95
887,Pepper - Sorrano,47.95
888,"Mushroom - Enoki, Fresh",46.35
889,Octopus,40.05
890,Muffin Batt - Choc Chk,3.97
891,Mayonnaise - Individual Pkg,29.0
892,Cucumber - English,8.21
893,Berry Brulee,21.13
894,Potatoes - Pei 10 Oz,3.72
895,"Juice - Grape, White",42.03
896,V8 Splash Strawberry Banana,55.38
897,Artichokes - Jerusalem,25.58
898,Muffin Hinge - 211n,9.57
899,Sauce - Caesar Dressing,74.66
900,Tea Peppermint,54.95
901,Goulash Seasoning,47.07
902,Oil - Grapeseed Oil,24.54
903,Steel Wool S.o.s,41.53
904,Chick Peas - Canned,53.18
905,Sprouts Dikon,67.67
906,Pear - Halves,70.98
907,Sugar - Palm,76.39
908,Tomatoes - Orange,34.23
909,Towel Dispenser,52.83
910,Carbonated Water - Cherry,76.27
911,Pumpkin - Seed,44.64
912,Cheese - Sheep Milk,21.76
913,Milk - Buttermilk,46.1
914,Cleaner - Pine Sol,82.62
915,"Flour - Corn, Fine",77.06
916,Bread - English Muffin,85.71
917,Wine - Baron De Rothschild,11.85
918,Carbonated Water - Blackcherry,45.09
919,Dehydrated Kelp Kombo,59.32
920,"Turkey - Breast, Boneless Sk On",73.36
921,Lady Fingers,10.08
922,Pastry - Banana Muffin - Mini,85.21
923,Emulsifier,79.14
924,Potatoes - Idaho 80 Count,30.83
925,Mountain Dew,14.78
926,Roe - White Fish,46.93
927,Gingerale - Diet - Schweppes,61.66
928,"Basil - Dry, Rubbed",83.98
929,Coffee Decaf Colombian,54.08
930,Dish Towel,72.62
931,Vaccum Bag 10x13,57.96
932,Bread - Pita,29.1
933,Lotus Rootlets - Canned,41.75
934,"Beans - Kidney, Canned",41.35
935,Pastry - Chocolate Chip Muffin,96.69
936,Sauce - Mint,16.41
937,Hog / Sausage Casing - Pork,10.29
938,Plate Foam Laminated 9in Blk,97.98
939,"Syrup - Golden, Lyles",31.4
940,Wine - Casillero Deldiablo,74.02
941,Cake Slab,60.99
942,"Pepper - Black, Ground",60.2
943,Lettuce - Red Leaf,22.52
944,Chevere Logs,15.15
945,Soup - French Onion,59.38
946,Bacon Strip Precooked,67.97
947,Cookies Oatmeal Raisin,37.03
948,"Wine - Red, Gamay Noir",31.97
949,Petite Baguette,7.7
950,Truffle Shells - Semi - Sweet,77.93
951,Cheese - Provolone,54.18
952,Butter - Pod,80.16
953,Almonds Ground Blanched,40.54
954,Irish Cream - Baileys,10.92
955,Dried Peach,35.03
956,Myers Planters Punch,7.9
957,Food Colouring - Green,4.52
958,"Beef - Chuck, Boneless",53.19
959,Wine - Baron De Rothschild,1.81
960,"Pepper - Paprika, Spanish",14.64
961,Oneshot Automatic Soap System,86.65
962,Broom - Angled,7.22
963,Paper Towel Touchless,31.04
964,Green Tea Refresher,35.21
965,Bread Ww Cluster,97.63
966,Bread - 10 Grain Parisian,27.67
967,Lamb - Shanks,86.06
968,Lemon Grass,24.7
969,Cheese - Valancey,3.36
970,Onions Granulated,84.64
971,Bread - Multigrain Oval,28.42
972,Sauce - Hollandaise,70.4
973,Oysters - Smoked,97.18
974,Wine - Ruffino Chianti,27.18
975,Muffin - Mix - Mango Sour Cherry,2.86
976,Carroway Seed,6.49
977,"Syrup - Monin, Irish Cream",57.42
978,Venison - Ground,64.58
979,Red Currant Jelly,31.52
980,Bar Bran Honey Nut,21.13
981,"Red Snapper - Fresh, Whole",92.34
982,"Pork - Chop, Frenched",90.67
983,Bread Cranberry Foccacia,52.38
984,"Wine - Red, Metus Rose",19.1
985,Sword Pick Asst,84.47
986,Cake Sheet Combo Party Pack,33.6
987,Boogies,77.97
988,Hinge W Undercut,12.09
989,Beer - Steamwhistle,70.74
990,"Quail - Whole, Boneless",19.92
991,Pancetta,48.04
992,Garam Marsala,34.18
993,"Soup - French Onion, Dry",12.59
994,Cheese - Perron Cheddar,73.65
995,Oil - Macadamia,64.64
996,"Juice - Cranberry, 341 Ml",97.38
997,Figs,23.7
998,Wine - Prosecco Valdobienne,38.9
999,Wine - Sauvignon Blanc,34.24
1000,Jameson Irish Whiskey,66.39
